,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
327,adre,0.0,TD,1573012468.0,22.0,13.47,22.2,293.58,4.85
328,muroto,20.0,JP,1573012468.0,30.0,33.37,134.14,293.15,1.5
330,lom sak,20.0,TH,1573012468.0,54.0,16.78,101.24,302.15,1.5
331,leticia,75.0,CO,1573012468.0,100.0,-4.21,-69.94,297.15,1.03
332,huamachuco,71.0,PE,1573012468.0,92.0,-7.82,-78.05,281.33,0.93
333,sabha,0.0,LY,1573012468.0,28.0,27.03,14.43,294.34,5.16
334,gigmoto,0.0,PH,1573012468.0,70.0,13.78,124.39,302.09,1.54
335,padang,68.0,ID,1573012468.0,60.0,-0.92,100.36,299.46,1.83
336,saint-gilles,83.0,FR,1573012469.0,87.0,43.68,4.43,283.15,3.1
337,sagana,30.0,KE,1573012469.0,96.0,-0.67,37.21,286.05,0.31
338,linjiang,99.0,CN,1573012469.0,30.0,41.81,126.91,278.64,1.46
339,richards bay,100.0,ZA,1573012469.0,84.0,-28.77,32.06,294.9,9.9
340,krasnovishersk,100.0,RU,1573012469.0,99.0,60.4,57.08,274.63,1.9
341,shieli,51.0,KZ,1573012469.0,63.0,44.18,66.74,271.58,1.84
342,amuntai,20.0,ID,1573012469.0,38.0,-2.42,115.25,307.5,1.26
343,pangody,33.0,RU,1573012469.0,87.0,65.85,74.49,261.68,6.83
344,luderitz,0.0,NA,1573012470.0,93.0,-26.65,15.16,289.15,6.2
345,havelock,90.0,US,1573012470.0,100.0,34.88,-76.9,291.15,1.03
346,yasnyy,100.0,RU,1573012470.0,93.0,64.04,44.09,264.89,1.45
347,murmashi,75.0,RU,1573012470.0,92.0,68.82,32.82,268.15,1.0
351,mamlyutka,90.0,KZ,1573012471.0,80.0,54.94,68.54,274.15,7.0
353,keroka,28.0,KE,1573012471.0,88.0,-0.78,34.95,285.76,1.94
354,severo-kurilsk,64.0,RU,1573012471.0,81.0,50.68,156.12,275.45,7.92
356,severnoye,98.0,RU,1573012471.0,87.0,54.09,52.54,276.6,8.27
357,muskegon,1.0,US,1573012471.0,100.0,43.23,-86.25,276.48,2.95
359,turan,100.0,RU,1573012471.0,62.0,52.15,93.92,270.91,0.48
360,nagda,32.0,IN,1573012471.0,67.0,23.46,75.42,297.97,1.99
362,kamskiye polyany,90.0,RU,1573012472.0,81.0,55.43,51.42,279.15,9.0
363,ancud,100.0,CL,1573012233.0,87.0,-41.87,-73.83,283.55,3.54
364,karatuzskoye,80.0,RU,1573012472.0,90.0,53.61,92.87,275.69,0.69
365,hualmay,26.0,PE,1573012472.0,83.0,-11.1,-77.61,289.32,1.27
367,seredka,100.0,RU,1573012472.0,85.0,58.06,38.14,280.88,5.28
368,fushe-arrez,100.0,AL,1573012472.0,83.0,42.06,20.02,285.06,2.84
369,batagay-alyta,96.0,RU,1573012473.0,94.0,67.8,130.41,252.7,1.06
370,ejea de los caballeros,75.0,ES,1573012473.0,71.0,42.13,-1.14,284.26,7.2
371,inhambane,20.0,MZ,1573012473.0,94.0,-23.87,35.38,297.15,3.0
373,isiro,81.0,CD,1573012473.0,98.0,2.77,27.62,292.02,0.35
374,puerto escondido,40.0,MX,1573012473.0,74.0,15.86,-97.07,300.15,1.5
375,constitucion,90.0,MX,1573012473.0,72.0,23.99,-104.67,289.26,4.1
376,platanos,20.0,GR,1573012473.0,100.0,35.47,23.6,290.15,5.03
377,katherine,44.0,AU,1573012474.0,14.0,-14.47,132.26,312.15,4.6
379,brae,99.0,GB,1573012474.0,74.0,60.4,-1.35,276.15,4.1
380,plettenberg bay,98.0,ZA,1573012474.0,60.0,-34.05,23.37,290.0,2.13
381,seduva,90.0,LT,1573012474.0,93.0,55.77,23.77,279.15,2.6
382,anadyr,90.0,RU,1573012474.0,79.0,64.73,177.51,271.15,2.0
383,vila franca do campo,75.0,PT,1573012474.0,72.0,37.72,-25.43,289.15,0.5
